Value,Format,Metric,Year
7164.052021,LP/EP,Value (Adjusted),1976
1055.868401,Vinyl Single,Value (Adjusted),1976
2921.62362,8 - Track,Value (Adjusted),1976
21.97033392,Other Tapes,Value (Adjusted),1976
,Music Video (Physical),Value (Adjusted),1976
,DVD Audio,Value (Adjusted),1976
,SACD,Value (Adjusted),1976
,Download Single,Value (Adjusted),1976
,Download Album,Value (Adjusted),1976
,Kiosk,Value (Adjusted),1976
,Download Music Video,Value (Adjusted),1976
,Ringtones & Ringbacks,Value (Adjusted),1976
,Other Digital,Value (Adjusted),1976
,Paid Subscription,Value (Adjusted),1976
,Limited Tier Paid Subscription,Value (Adjusted),1976
,SoundExchange Distributions,Value (Adjusted),1976
,On-Demand Streaming (Ad-Supported),Value (Adjusted),1976
,Other Ad-Supported Streaming,Value (Adjusted),1976
,Synchronization,Value (Adjusted),1976
,CD,Units,1977
,CD Single,Units,1977
36.9,Cassette,Units,1977
,Cassette Single,Units,1977
344,LP/EP,Units,1977
190,Vinyl Single,Units,1977
127.3,8 - Track,Units,1977
,Other Tapes,Units,1977
,Music Video (Physical),Units,1977
,DVD Audio,Units,1977
,SACD,Units,1977
,Download Single,Units,1977
,Download Album,Units,1977
,Kiosk,Units,1977
,Download Music Video,Units,1977
,Ringtones & Ringbacks,Units,1977
,,Units,1977
,Paid Subscriptions,Units,1977
,CD,Value,1977
,CD Single,Value,1977
249.6,Cassette,Value,1977
,Cassette Single,Value,1977
2195.1,LP/EP,Value,1977
245.1,Vinyl Single,Value,1977
811,8 - Track,Value,1977
,Other Tapes,Value,1977
,Music Video (Physical),Value,1977
,DVD Audio,Value,1977
,SACD,Value,1977
,Download Single,Value,1977
,Download Album,Value,1977
,Kiosk,Value,1977
,Download Music Video,Value,1977
,Ringtones & Ringbacks,Value,1977
,Other Digital,Value,1977
,Paid Subscription,Value,1977
,Limited Tier Paid Subscription,Value,1977
,SoundExchange Distributions,Value,1977
,On-Demand Streaming (Ad-Supported),Value,1977
,Other Ad-Supported Streaming,Value,1977
,Synchronization,Value,1977
,CD,Value (Adjusted),1977
,CD Single,Value (Adjusted),1977
1009.603168,Cassette,Value (Adjusted),1977
,Cassette Single,Value (Adjusted),1977
8878.925941,LP/EP,Value (Adjusted),1977
991.4011881,Vinyl Single,Value (Adjusted),1977
3280.40132,8 - Track,Value (Adjusted),1977
,Other Tapes,Value (Adjusted),1977
,Music Video (Physical),Value (Adjusted),1977
,DVD Audio,Value (Adjusted),1977
,SACD,Value (Adjusted),1977
,Download Single,Value (Adjusted),1977
,Download Album,Value (Adjusted),1977
,Kiosk,Value (Adjusted),1977
,Download Music Video,Value (Adjusted),1977
,Ringtones & Ringbacks,Value (Adjusted),1977
,Other Digital,Value (Adjusted),1977
,Paid Subscription,Value (Adjusted),1977
,Limited Tier Paid Subscription,Value (Adjusted),1977
,SoundExchange Distributions,Value (Adjusted),1977
,On-Demand Streaming (Ad-Supported),Value (Adjusted),1977
